Cte;Data CT-e;Nota fiscal;Data.nf;Val.NF (BI AE);Coleta;Remetente;UF Rem.;CGC REM;Modalidade;Nome do DN;CGC DEST;N  DN;Cidade;UF Dest.;Qtde. Vol. da NF (BI J);P. Real do CTe (BI AF);P. Cub. do CTe (BI AG);Frete do CTe (BI AI);Prazo BID;PREVISAO DE ENTREGA;DATA DA ENTREGA;ATRASO;DIAS DE ATRASO;Justificado?;Cod;Justificativa;Evidenciado;Transp.;Ano;M s;Qtde. NFs do CTe;Staus;Data coleta transportador;POSSUE OCORRENCIA?;OBSERVAÇÃO;NOVA DATA PREV ENTREGA;Região;Transit Transportador2;AGING EMISSÃO NF;AGING EMISSÃO CTE;CTE 24 HRS;OTD DO CLIENTE (previsão X DATA DE ENTREGA);AGING DA PREVISÃO;WEEK DA PREVISÃO (SEMANA DO ANO);WEEK DA ENTREGA (SEMANA DO ANO);OTIF;TRANSPORTADORA REAL
1418;24/09/2026;278784/39;21/09/2026;2468,32;24/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;;HGV HUGO GURGEL VEICULOS LTDA;24355745000131;;PETROLINA;PE;5;14,1;55,356;252,46;13;07/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;NORDESTE;13;3;0;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;13;41;;PENDENTE DE VALIDAÇÃO;
1420;24/09/2026;278730/39;19/09/2026;42389,55;24/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;;MONACO DIESEL CAMINHOES E ONIBUS LTDA;5442121000107;;SAO LUIS;MA;1;26,7;265,77;484,275;12;06/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;2;;;;;;NORDESTE;12;5;0;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;12;41;;PENDENTE DE VALIDAÇÃO;
1420;24/09/2026;279657/39;21/09/2026;529,87;24/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;;MONACO DIESEL CAMINHOES E ONIBUS LTDA;5442121000107;;SAO LUIS;MA;1;26,7;265,77;484,275;12;06/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;2;;;;;;NORDESTE;12;3;0;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;12;41;;PENDENTE DE VALIDAÇÃO;
1424;24/09/2026;280253/39;23/09/2026;16144,44;24/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;;NASA CAMINHOES LTDA.;33532342000292;;RIO VERDE;GO;1;96;1453,54;4956,85;9;03/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;CENTRO-OESTE;9;1;0;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;9;40;;PENDENTE DE VALIDAÇÃO;
1389;22/09/2026;279666/39;22/09/2026;980,82;22/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;BRAVO CAMINHOES E EMPREENDIMENTOS LTDA;251951001024;;UBA;MG;2;5,5;24,74;49,37;6;28/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;FEDERAL TRANSP. LTDA;2026;9;1;;;;;;SUDESTE;6;2;2;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;4;40;;PENDENTE DE VALIDAÇÃO;
1422;24/09/2026;278785/39;21/09/2026;2035,72;24/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;;MOVEL MOTORES E VEICULOS LTDA;13265251000140;;VITORIA DA CONQUISTA;BA;4;11,28;44,2848;220,16;12;06/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;NORDESTE;12;3;0;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;12;41;;PENDENTE DE VALIDAÇÃO;
1363;21/09/2026;278719/39;19/09/2026;13741,18;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;BRAVO CAMINHOES E EMPREENDIMENTOS LTDA;251951000303;;FEIRA DE SANTANA;BA;1;82,2;253,4;860,8;12;03/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;TERMACO TERM. M. CONT. SERV ACESS. LTDA;2026;9;1;;;;;;NORDESTE;12;5;3;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;9;40;;PENDENTE DE VALIDAÇÃO;
1364;21/09/2026;278749/39;21/09/2026;2544,66;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;BRAVO CAMINHOES E EMPREENDIMENTOS LTDA;251951000729;;GUANAMBI;BA;5;13,7;61,86;256,35;12;03/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;TERMACO TERM. M. CONT. SERV ACESS. LTDA;2026;9;1;;;;;;NORDESTE;12;3;3;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;9;40;;PENDENTE DE VALIDAÇÃO;
1416;24/09/2026;279789/39;22/09/2026;21070,21;24/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;;CEQUIP- IMPORTACAO E COMERCIO LTDA;7327166001057;;ITAITINGA;CE;8;253,755;1758,3255;6166,81;13;07/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;NORDESTE;13;2;0;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;13;41;;PENDENTE DE VALIDAÇÃO;
1426;24/09/2026;280339/39;23/09/2026;19879,641;24/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;;SULPARA CAMINHOES E MAQUINAS LTDA;14133730000418;;PARAUAPEBAS;PA;3;225;1696,46;5611,38;13;07/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;NORTE;13;1;0;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;13;41;;PENDENTE DE VALIDAÇÃO;
1375;21/09/2026;278723/39;19/09/2026;11509,82;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;MONACO DIESEL RONDONIA LTDA;84652296000115;;PORTO VELHO;RO;4;181,2;573,22;847,195;11;02/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CARVALIMA TRANSP. LTDA;2026;9;2;;;;;;NORTE;11;5;3;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;8;40;;PENDENTE DE VALIDAÇÃO;
1375;21/09/2026;278734/39;19/09/2026;11509,82;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;MONACO DIESEL RONDONIA LTDA;84652296000115;;PORTO VELHO;RO;4;181,2;573,22;847,195;11;02/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CARVALIMA TRANSP. LTDA;2026;9;2;;;;;;NORTE;11;5;3;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;8;40;;PENDENTE DE VALIDAÇÃO;
1395;22/09/2026;279151/39;21/09/2026;28796,59;22/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;M. DIESEL CAMINHOES E ONIBUS LTDA.;7811058000245;;RONDONOPOLIS;MT;6;708,2;1980,44;3640,25;9;01/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CARVALIMA TRANSP. LTDA;2026;9;1;;;;;;CENTRO-OESTE;9;3;2;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;7;40;;PENDENTE DE VALIDAÇÃO;
1398;22/09/2026;279668/39;22/09/2026;7830,05;22/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;VIA DIESEL DIST.VEICS.MOTORES PECAS;1937258000181;;PARNAMIRIM;RN;1;108;1453,54;2552,22;13;05/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;2;;;;;;NORDESTE;13;2;2;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;11;41;;PENDENTE DE VALIDAÇÃO;
1398;22/09/2026;279669/39;22/09/2026;9081,25;22/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;VIA DIESEL DIST.VEICS.MOTORES PECAS;1937258000181;;PARNAMIRIM;RN;0;108;1453,54;2552,22;13;05/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;2;;;;;;NORDESTE;13;2;2;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;11;41;;PENDENTE DE VALIDAÇÃO;
1413;24/09/2026;279710/39;22/09/2026;3053,59;24/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;;BRAVO CAMINHOES E EMPREENDIMENTOS L;251951000486;;BARREIRAS;BA;6;16,53;74,2338;294,03;12;06/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;NORDESTE;12;2;0;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;12;41;;PENDENTE DE VALIDAÇÃO;
1393;22/09/2026;279673/39;22/09/2026;21823,07;22/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;GAPLAN CAMINHOES E ONIBUS MG LTDA.;34641393000215;;UBERABA;MG;1;120;1453,54;1384,77;5;27/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;FEDERAL TRANSP. LTDA;2026;9;1;;;;;;SUDESTE;5;2;2;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;3;39;;PENDENTE DE VALIDAÇÃO;
1377;21/09/2026;278731/39;19/09/2026;10178,65;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;MOVEL MOTORES E VEICULOS LTDA;13265251000140;;VITORIA DA CONQUISTA;BA;2;87;663,16;2066,25;12;03/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;TERMACO TERM. M. CONT. SERV ACESS. LTDA;2026;9;1;;;;;;NORDESTE;12;5;3;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;9;40;;PENDENTE DE VALIDAÇÃO;
1379;21/09/2026;278979/39;21/09/2026;24598,35;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;REZENDE CAMINHOES - COM.E REPRES.LT;1971223000169;;MANAUS;AM;4;217,8;1169,96;5433,95;19;10/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CARVALIMA TRANSP. LTDA;2026;9;1;;;;;;NORTE;19;3;3;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;16;41;;PENDENTE DE VALIDAÇÃO;
1386;22/09/2026;279661/39;22/09/2026;4904,07;22/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;AUTOMOB PARTICIPACOES S A;35654688002151;;CACAPAVA;SP;10;28;123,72;235,18;5;27/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;LENILSON RODRIGUES DE SOUZA;2026;9;1;;;;;;SUDESTE;5;2;2;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;3;39;;PENDENTE DE VALIDAÇÃO;
